DATE, EX_NUM, m, n, t, ERROR_UXY, ERROR_VXY, ERROR_DXY, MEAN_METHOD, BOOL_ALPHA_THETA, LOW_RANK_APPROX_METHOD, LRA_ITE, APF_METHOD, APF_ITE, error_min, error_max, SUBRESULTANT_FORMAT, RANK_REVEALING_METRIC 
22-Jun-2017 23:21:41,2,13,11,8,5.045414e-10,3.582510e-10,3.276474e-10,Geometric Mean Matlab Method,1,Standard STLN,1,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Norms 
22-Jun-2017 23:21:42,4,10,12,8,1.351809e-11,2.519168e-11,1.198921e-11,Geometric Mean Matlab Method,1,Standard STLN,1,None,0,1.000000e-12,1.000000e-10,TQ,R1 Row Norms 
22-Jun-2017 23:21:43,1,7,7,4,2.921483e-10,3.407864e-10,3.559425e-10,Geometric Mean Matlab Method,0,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Diagonals 
22-Jun-2017 23:21:47,1,7,7,4,2.921483e-10,3.407864e-10,3.559425e-10,Geometric Mean Matlab Method,0,None,0,None,0,1.000000e-12,1.000000e-10,T,Minimum Singular Values 
22-Jun-2017 23:21:49,4,10,12,8,1.351809e-11,2.519168e-11,1.198921e-11,Geometric Mean Matlab Method,1,Standard STLN,1,None,0,1.000000e-12,1.000000e-10,TQ,R1 Row Diagonals 
22-Jun-2017 23:21:49,2,13,11,8,5.045414e-10,3.582510e-10,3.276474e-10,Geometric Mean Matlab Method,1,Standard STLN,1,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Diagonals 
22-Jun-2017 23:21:51,1,7,7,4,1.130337e-10,9.704684e-11,8.637609e-11,Geometric Mean Matlab Method,0,None,0,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Norms 
22-Jun-2017 23:21:56,1,7,7,4,1.130337e-10,9.704684e-11,8.637609e-11,Geometric Mean Matlab Method,0,None,0,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Diagonals 
22-Jun-2017 23:21:56,4,10,12,8,1.351809e-11,2.519168e-11,1.198921e-11,Geometric Mean Matlab Method,1,Standard STLN,1,None,0,1.000000e-12,1.000000e-10,TQ,Minimum Singular Values 
22-Jun-2017 23:21:57,2,13,11,8,5.045414e-10,3.582510e-10,3.276474e-10,Geometric Mean Matlab Method,1,Standard STLN,1,None,0,1.000000e-12,1.000000e-10,DT,Minimum Singular Values 
