DATE,EX_NUM,m,n,t,ERROR_DXY,MEAN_METHOD,BOOL_ALPHA_THETA,LOW_RANK_APPROX_METHOD,LRA_ITE,APF_METHOD,APF_ITE,error_min,error_max,Sylvester_Matrix_Type 
18-Nov-2016 11:29:02,2,13,11,8,9.292132e-06,None,n,None,0,None,0,1.000000e-12,1.000000e-10,DT 
18-Nov-2016 11:29:08,2,13,11,8,9.289683e-06,None,n,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:29:14,3,16,17,14,1.057787e-10,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-10,DT 
18-Nov-2016 11:29:16,2,13,11,8,4.772901e-04,None,n,None,0,None,0,1.000000e-12,1.000000e-10,TQ 
18-Nov-2016 11:29:22,1,7,7,4,1.472294e-08,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-08,T 
18-Nov-2016 11:29:30,1,7,7,4,3.179872e-09,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-08,DT 
18-Nov-2016 11:29:37,1,7,7,4,3.179870e-09,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:29:44,1,7,7,4,1.472294e-08,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-08,TQ 
18-Nov-2016 11:29:50,1,7,7,4,3.515672e-08,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-08,T 
18-Nov-2016 11:29:56,3,16,17,14,1.057758e-10,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:29:56,1,7,7,4,8.638082e-09,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-08,DT 
18-Nov-2016 11:30:02,1,7,7,4,8.638069e-09,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:30:08,1,7,7,4,3.515675e-08,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-08,TQ 
18-Nov-2016 11:30:15,1,7,7,4,1.472373e-08,None,y,None,0,None,0,1.000000e-12,1.000000e-08,T 
18-Nov-2016 11:30:22,1,7,7,4,3.179242e-09,None,y,None,0,None,0,1.000000e-12,1.000000e-08,DT 
18-Nov-2016 11:30:29,1,7,7,4,3.179240e-09,None,y,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:30:36,1,7,7,4,1.472375e-08,None,y,None,0,None,0,1.000000e-12,1.000000e-08,TQ 
18-Nov-2016 11:30:37,3,16,17,14,1.555155e-10,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-10,TQ 
18-Nov-2016 11:30:42,1,7,7,4,3.487717e-08,None,n,None,0,None,0,1.000000e-12,1.000000e-08,T 
18-Nov-2016 11:30:45,3,16,17,14,3.856989e-10,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-10,T 
18-Nov-2016 11:30:49,1,7,7,4,8.454045e-09,None,n,None,0,None,0,1.000000e-12,1.000000e-08,DT 
